,pred_list,terms,count
0,"1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4","[KB,getLength,I]",26448
1,"3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0","[BK,[subnn,3],getDot]",20839
2,"3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7","[BK,[addnn,3],getDot]",7827
3,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","[KK,[addnn,0],3]",62073
4,"4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0","[BK,[subnn,4],getDot]",604
5,"4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8","[BK,[addnn,4],getDot]",916
6,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4","[KK,[addnn,0],4]",13169
7,"3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6","[KB,[addnn,2],getLength]",11498
8,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6","[BK,[addnn,2],getStripe]",6756
9,"1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8,1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8,1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8,1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8,1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8","[BC,[B,addnn,getLength],getDot]",3028
