,terms,arg_types,return_type,type,count
0,Blue,,col,base_term,1.0
1,Circle,,shp,base_term,1.0
2,Dotted,,pat,base_term,1.0
3,False,,bool,base_term,1.0
4,I,obj,obj,program,1.0
5,Plain,,pat,base_term,1.0
6,Red,,col,base_term,2.0
7,S1,,int,base_term,1.0
8,S2,,int,base_term,1.0
9,S3,,int,base_term,1.0
10,S4,,int,base_term,1.0
11,Square,,shp,base_term,1.0
12,Triangle,,shp,base_term,1.0
13,True,,bool,base_term,1.0
14,Yellow,,col,base_term,1.0
15,"[BB,[[ifElse,False],obj],[SC,[BB,setSize,[BC,[B,setColor,I],getColor]],getSaturation]]",obj_obj,obj,program,2.0
16,"[BC,[B,setColor,I],getColor]",obj_obj,obj,program,6.0
17,"[KC,[B,setColor,I],Red]",obj_obj,obj,program,1.0
18,"[SC,[BB,setSize,[BC,[B,setColor,I],getColor]],getSaturation]",obj_obj,obj,program,5.0
19,eqColor,col_col,bool,primitive,1.0
20,eqDensity,int_int,bool,primitive,1.0
21,eqObject,obj_obj,bool,primitive,1.0
22,eqPattern,pat_pat,bool,primitive,1.0
23,eqSaturation,int_int,bool,primitive,1.0
24,eqShape,shp_shp,bool,primitive,1.0
25,eqSize,int_int,bool,primitive,1.0
26,getColor,obj,col,primitive,7.0
27,getDensity,obj,int,primitive,1.0
28,getPattern,obj,pat,primitive,1.0
29,getSaturation,obj,int,primitive,6.0
30,getShape,obj,shp,primitive,1.0
31,getSize,obj,int,primitive,1.0
32,ifElse,bool_obj_obj,obj,primitive,3.0
33,setColor,obj_col,obj,primitive,8.0
34,setDensity,obj_int,obj,primitive,1.0
35,setPattern,obj_pat,obj,primitive,1.0
36,setSaturation,obj_int,obj,primitive,1.0
37,setShape,obj_shp,obj,primitive,1.0
38,setSize,obj_int,obj,primitive,6.0
