,terms,arg_types,return_type,type,is_init,count,comp_lp,adaptor_lp,log_prob
0,O0,,dot,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
1,O1,,dot,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
2,O2,,dot,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
3,O3,,dot,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
4,O4,,dot,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
5,0,,num,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
6,1,,num,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
7,2,,num,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
8,3,,num,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
9,4,,num,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
10,S0,,stripe,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
11,S1,,stripe,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
12,S2,,stripe,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
13,S3,,stripe,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
14,S4,,stripe,base_term,1,1,-1.6094379124341005,-8.0,-1.6094379124341005
15,I,egg,egg,primitive,1,1,0.0,0.0,0.0
16,getDot,egg,num,primitive,1,1,-0.6931471805599453,-0.7999999999999998,-0.6931471805599453
17,getStripe,egg,num,primitive,1,1,-0.6931471805599453,-0.7999999999999998,-0.6931471805599453
18,addnn,num_num,num,primitive,1,1,-1.0986122886681098,-2.4,-1.0986122886681098
19,mulnn,num_num,num,primitive,1,1,-1.0986122886681098,-2.4,-1.0986122886681098
20,subnn,num_num,num,primitive,1,1,-1.0986122886681098,-2.4,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1,1,0.0,0.0,0.0
22,"[KB,I,I]",egg_num,num,program,1,1,0.0,0.0,0.0
23,"[B,I,I]",num,num,program,1,1,0.0,0.0,0.0
24,equalDots,egg,bol,primitive,1,1,-1.0986122886681098,-2.4,-1.0986122886681098
25,lessDots,egg,bol,primitive,1,1,-1.0986122886681098,-2.4,-1.0986122886681098
26,moreDots,egg,bol,primitive,1,1,-1.0986122886681098,-2.4,-1.0986122886681098
27,ifElse,bol_num_num,num,primitive,1,1,0.0,0.0,0.0
